message,severity,attributes,tags,timestamp
- Local:         http://localhost:8080,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289347539Z
- Network:       http://10.209.186.171:8080,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289356760Z
✓ Ready in 110ms,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289361332Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289434195Z
,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289438196Z
> tramongthi@0.1.0 start,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289441735Z
> next start,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289445050Z
,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289448519Z
▲ Next.js 16.2.9,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.289452188Z
Starting Container,info,"{""level"":""info""}","{""project"":""764a337e-9abb-47c8-8012-ab84fcb333c2"",""environment"":""b1ad57fa-4c05-43b7-add5-977f7ea672f6"",""service"":""5ce0b5c2-b520-4e5c-905d-05e7d70b31de"",""deployment"":""d73d84c5-5942-4099-a0db-7dbee7134226"",""replica"":""3cc681a5-8435-4eb2-9f9e-c8d38033511d""}",2026-07-04T16:04:41.593540923Z
